,M,deltaP,Vmax
0,-206.26349,18048.492,6.4422530846754835
1,-244.44779,24161.822,7.434430092519758
2,-283.82966,31415.885,7.475838610543465
3,-328.89708,35243.654,7.999624108208304
4,-362.7593,37997.649,8.47915016421496
5,-392.69993,38210.553,10.245386817836065
6,-419.69554,38375.625,9.404354212434942
7,-437.96119,40180.875,9.780514188319804
8,-429.17315,23341.714,9.716153373718198
9,-419.65423,8605.2933,9.543263745494311
10,-419.0301,-7152.254,9.547932041268332
11,-260.89101,26147.247,8.833526795543191
12,-294.06325,25917.855,8.030190644979877
13,-344.22169,34134.265,8.797019303093151
14,-388.20632,40369.044,8.10581720636924
15,-445.67163,45638.683,8.707199799363629
16,-490.35186,50724.763,9.707046106252998
17,-530.46771,54547.919,10.447396042507625
18,-564.76046,54713.047,11.98349903328615
19,-599.47712,57496.421,11.632566604846351
20,-628.57744,57128.323,11.730816786413806
21,-629.11373,46437.037,11.973578034618177
22,-314.84918,29146.798,10.650830243387215
23,-358.8588,33719.582,10.511491161573485
24,-402.08394,36942.685,9.687775817742201
25,-464.30781,47499.697,10.590206241099185
26,-506.26735,53370.297,9.432292897223236
27,-575.0853,62182.385,10.5153007950171
28,-634.44698,68911.25,11.53533927444379
29,-683.76919,73479.635,11.636697816242357
30,-729.60249,75007.551,12.864193974454839
31,-769.98014,75448.343,13.870382940199757
32,-811.06074,74663.443,14.306576156204551
33,-363.52865,36619.364,10.179712495534346
34,-418.19052,38785.182,11.847658885833482
35,-477.76732,50469.777,11.99167730004376
36,-525.28555,49937.403,11.124739028192133
37,-602.66169,65775.36,12.09771398581902
38,-641.7913,64402.95,10.987727513414915
39,-709.6753,78369.985,11.778783497623225
40,-789.14432,85382.943,11.875451607692321
41,-853.02535,93217.145,13.651071347371845
42,-908.66493,97192.449,13.361268407690652
43,-961.75003,99996.839,15.604921788214984
44,-418.59952,38539.575,9.94777371687305
45,-482.39318,48349.184,13.389254609205071
46,-544.32132,50405.439,13.399833024883185
47,-617.14433,64884.612,13.54072450724844
48,-664.20401,63087.622,12.387392151132268
49,-747.33754,81450.519,13.195257429902743
50,-799.57951,79507.354,12.179716081806287
51,-869.1913,94554.98,12.26124141648638
52,-960.89356,101501.9,13.290981689780246
53,-1037.3646,114899.86,15.156294821584382
54,-1102.0423,120669.25,15.094739329860717
55,-484.82992,53483.343,11.10864903679971
56,-554.67646,54887.092,11.188865739543598
57,-609.27301,62476.86,13.107677220069585
58,-684.25609,59392.119,14.592561410623038
59,-777.30137,87063.693,15.415335828018753
60,-818.76287,78811.464,13.736890182908638
61,-914.05018,103824.26,14.91892954497022
62,-975.17741,97397.369,14.81053272721413
63,-1041.6847,113914.41,14.658764604228605
64,-1134.4346,131369.95,15.050531125559566
65,-1233.7077,129549.52,14.563007967206147
66,-556.59789,62434.459,12.479312210210475
67,-621.21579,59361.147,12.478804464300842
68,-689.66575,67651.574,12.71739085528368
69,-764.90225,75793.826,16.276696872005086
70,-845.07901,71200.771,15.729393255502996
71,-949.5285,107203.59,17.360266298127264
72,-1006.0196,95247.586,16.485786415509793
73,-1104.2458,127481.64,16.128976159335032
74,-1149.2231,109954.09,16.119468400077423
75,-1222.4079,129386.37,14.593487621020843
76,-1331.4138,149902.19,15.65407617089718
77,-633.12142,73717.581,13.532630805289388
78,-712.76787,76577.87,14.134351341399384
79,-785.57757,77623.665,13.578853714229288
80,-847.10259,84974.907,14.734427024295991
81,-939.40688,88692.717,18.71937436157915
82,-1028.4359,88579.827,17.66431875039546
83,-1137.3635,126001.04,18.933567410146658
84,-1195.6718,112981.72,16.659786899808942
85,-1288.7822,145115.73,17.301766767779554
86,-1362.1357,132464.97,19.490551440790583
87,-1419.5924,142611.43,17.614375019378294
88,-729.29914,85901.25,14.48998709147188
89,-790.55943,89563.066,14.931228403287983
90,-859.08981,83813.165,14.732894131665802
91,-944.22906,90104.952,14.600861285191874
92,-1020.6489,105860.09,17.10283455471122
93,-1120.4792,108706.62,19.98090433993978
94,-1232.0351,114109.56,19.868168226581556
95,-1342.4183,147299.51,20.32221114678969
96,-1413.1733,139517.14,18.027317816424635
97,-1495.4611,171525.08,21.39419877820479
98,-1591.4879,160380.34,19.327292841430914
99,-810.00804,97819.91,15.419926574355507
100,-880.39507,100871.49,15.80854735914532
101,-967.4849,104374.48,16.547937595422287
102,-1049.8749,102834.44,16.33113354076744
103,-1128.9225,112285.24,16.866321947493336
104,-1218.4894,123452.6,20.823266931658463
105,-1313.5365,118006.03,20.892370950341164
106,-1452.4838,147392.5,21.630200548737843
107,-1534.4427,169451.05,21.46358180591185
108,-1640.0481,167318.97,19.64236632384744
109,-1712.6842,194405.93,23.58081268958522
110,-871.78131,108366.48,18.71460598306592
111,-987.77073,115164.01,16.774048364526344
112,-1061.592,117997.76,17.314689133046414
113,-1133.9848,112588.87,16.98495080577186
114,-1244.7169,121126.68,17.432559945757667
115,-1323.9109,134158.39,18.371802175446966
116,-1451.3843,144832.88,24.434696699924853
117,-1538.6025,135420.01,21.832128945391915
118,-1706.7984,180753.08,22.63444652311158
119,-1763.6004,181912.35,22.821806815827287
120,-1870.6484,203174.77,21.56382763549248
